,driver,lap,trackStatus,position,grid,performance,trackTemp,airTemp,raining,tyre,tyreLap,track,team,driverPrev,teamPrev,driverNext,teamNext
758,21,11,0,11.958309173583984,12,0,36.6,23.8,0.0,3,10,9,5,5,5,29,5
690,20,11,0,13.160831451416016,13,0,36.8,23.9,0.0,3,10,9,5,14,14,21,14
1098,27,11,0,13.688824653625488,14,0,37.1,24.1,0.0,2,10,9,14,8,8,20,8
78,3,11,0,14.75578784942627,15,0,36.7,23.9,0.0,3,13,9,8,12,12,27,12
146,4,11,0,15.49511432647705,16,0,33.4,24.2,0.0,2,10,9,12,13,13,3,13
214,6,11,0,17.081573486328125,17,0,37.2,23.7,0.0,3,10,9,13,12,12,4,12
554,15,11,0,18.026119232177734,18,0,36.8,23.9,0.0,2,10,9,12,14,14,6,14
1030,26,11,0,18.99976348876953,19,0,38.4,24.3,0.0,2,10,9,14,13,13,15,13
418,10,11,0,19.700809478759766,20,0,37.1,24.1,0.0,0,9,9,13,8,8,26,8
351,9,12,0,1.249507188796997,1,0,36.8,23.9,0.0,3,14,9,8,4,4,9,4
827,22,12,0,2.792553663253784,2,0,36.6,23.8,0.0,3,14,9,4,4,4,9,4
1303,31,12,0,3.9918112754821777,3,0,36.6,23.8,0.0,3,14,9,4,6,6,22,6
623,16,12,0,4.514710426330566,4,0,36.4,23.5,0.0,3,14,9,6,10,10,31,10
1235,30,12,0,6.716435432434082,5,0,36.6,23.8,0.0,2,14,9,10,6,6,16,6
283,8,12,0,7.7377238273620605,6,0,36.6,23.8,0.0,3,14,9,6,11,11,30,11
487,11,12,0,8.332839965820312,7,0,36.8,23.9,0.0,3,14,9,11,11,11,8,10
963,25,12,0,9.192777633666992,9,0,36.7,23.9,0.0,3,14,9,11,10,10,11,7
895,23,12,0,9.240134239196777,8,0,36.4,23.5,0.0,2,14,9,10,7,7,25,11
11,2,12,0,10.222136497497559,10,0,38.2,24.2,0.0,3,11,9,7,7,7,23,7
1167,29,12,0,11.671210289001465,11,0,37.1,24.1,0.0,3,11,9,7,5,5,2,5
759,21,12,0,11.981063842773438,12,0,36.6,23.8,0.0,3,11,9,5,5,5,29,5
691,20,12,0,13.274762153625488,13,0,36.8,23.9,0.0,3,11,9,5,14,14,21,14
1099,27,12,0,13.749639511108398,14,0,37.1,24.1,0.0,2,11,9,14,8,8,20,8
79,3,12,0,14.7680025100708,15,0,36.7,23.9,0.0,3,14,9,8,12,12,27,12
147,4,12,0,15.475057601928711,16,0,33.4,24.2,0.0,2,11,9,12,13,13,3,13
215,6,12,0,17.15884780883789,17,0,37.2,23.7,0.0,3,11,9,13,12,12,4,12
555,15,12,0,18.04000473022461,18,0,36.8,23.9,0.0,2,11,9,12,14,14,6,14
1031,26,12,0,18.989543914794922,19,0,38.4,24.3,0.0,2,11,9,14,13,13,15,13
419,10,12,0,19.680763244628906,20,0,37.1,24.1,0.0,0,10,9,13,8,8,26,8
352,9,13,0,1.2767119407653809,1,0,36.8,23.9,0.0,3,15,9,8,4,4,9,4
828,22,13,0,2.963151454925537,2,0,36.6,23.8,0.0,3,15,9,4,4,4,9,4
1304,31,13,0,4.182985305786133,3,0,36.6,23.8,0.0,3,15,9,4,6,6,22,6
624,16,13,0,4.536697864532471,4,0,36.4,23.5,0.0,3,15,9,6,10,10,31,10
1236,30,13,0,6.829802989959717,5,0,36.6,23.8,0.0,2,15,9,10,6,6,16,6
284,8,13,0,7.907884120941162,6,0,36.6,23.8,0.0,3,15,9,6,11,11,30,11
488,11,13,0,8.48416519165039,7,0,36.8,23.9,0.0,3,15,9,11,11,11,8,10
964,25,13,0,9.347539901733398,9,0,36.7,23.9,0.0,3,15,9,11,10,10,11,7
896,23,13,0,9.376680374145508,8,0,36.4,23.5,0.0,2,15,9,10,7,7,25,11
12,2,13,0,10.120083808898926,10,0,38.2,24.2,0.0,3,12,9,7,7,7,23,7
1168,29,13,0,11.511320114135742,11,0,37.1,24.1,0.0,3,12,9,7,5,5,2,5
760,21,13,0,11.977123260498047,12,0,36.6,23.8,0.0,3,12,9,5,5,5,29,5
692,20,13,0,13.402295112609863,13,0,36.8,23.9,0.0,3,12,9,5,14,14,21,14
1100,27,13,0,13.938143730163574,14,0,37.1,24.1,0.0,2,12,9,14,8,8,20,8
80,3,13,0,14.795506477355957,15,0,36.7,23.9,0.0,3,15,9,8,12,12,27,12
148,4,13,0,15.567730903625488,16,0,33.4,24.2,0.0,2,12,9,12,13,13,3,13
216,6,13,0,17.249116897583008,17,0,37.2,23.7,0.0,3,12,9,13,12,12,4,12
556,15,13,0,18.055789947509766,18,0,36.8,23.9,0.0,2,12,9,12,14,14,6,14
1032,26,13,0,18.991764068603516,19,0,38.4,24.3,0.0,2,12,9,14,13,13,15,13
420,10,13,0,19.707611083984375,20,0,37.1,24.1,0.0,0,11,9,13,8,8,26,8
353,9,14,0,1.2800350189208984,1,0,36.8,23.9,0.0,3,16,9,8,4,4,9,4
829,22,14,0,3.0380423069000244,2,0,36.6,23.8,0.0,3,16,9,4,4,4,9,4
1305,31,14,0,4.358833312988281,3,0,36.6,23.8,0.0,3,16,9,4,6,6,22,6
625,16,14,0,4.553699016571045,4,0,36.4,23.5,0.0,3,16,9,6,10,10,31,10
1237,30,14,0,6.899423122406006,5,0,36.6,23.8,0.0,2,16,9,10,6,6,16,6
285,8,14,0,8.065115928649902,6,0,36.6,23.8,0.0,3,16,9,6,11,11,30,11
489,11,14,0,8.638090133666992,7,0,36.8,23.9,0.0,3,16,9,11,11,11,8,10
965,25,14,0,9.371673583984375,9,0,36.7,23.9,0.0,3,16,9,11,10,10,11,7
897,23,14,0,9.420975685119629,8,0,36.4,23.5,0.0,2,16,9,10,7,7,25,11
13,2,14,0,10.166814804077148,10,0,38.2,24.2,0.0,3,13,9,7,7,7,23,7
1169,29,14,0,11.837075233459473,11,0,37.1,24.1,0.0,3,13,9,7,5,5,2,5
761,21,14,0,11.976819038391113,12,0,36.6,23.8,0.0,3,13,9,5,5,5,29,5
693,20,14,0,13.493708610534668,13,0,36.8,23.9,0.0,3,13,9,5,14,14,21,14
1101,27,14,0,13.967994689941406,14,0,37.1,24.1,0.0,2,13,9,14,8,8,20,8
81,3,14,0,14.796036720275879,15,0,36.7,23.9,0.0,3,16,9,8,12,12,27,12
149,4,14,0,15.5670804977417,16,0,33.4,24.2,0.0,2,13,9,12,13,13,3,13
217,6,14,0,17.345287322998047,17,0,37.2,23.7,0.0,3,13,9,13,12,12,4,12
557,15,14,0,18.09249496459961,18,0,36.8,23.9,0.0,2,13,9,12,14,14,6,14
1033,26,14,0,19.000263214111328,19,0,38.4,24.3,0.0,2,13,9,14,13,13,15,13
421,10,14,0,19.729351043701172,20,0,37.1,24.1,0.0,0,12,9,13,8,8,26,8
354,9,15,0,1.284663200378418,1,0,36.8,23.9,0.0,3,17,9,8,4,4,9,4
830,22,15,0,3.132517099380493,2,0,36.6,23.8,0.0,3,17,9,4,4,4,9,4
1306,31,15,0,4.499984264373779,3,0,36.6,23.8,0.0,3,17,9,4,6,6,22,6
626,16,15,0,4.562987327575684,4,0,36.4,23.5,0.0,3,17,9,6,10,10,31,10
1238,30,15,0,6.978867530822754,5,0,36.6,23.8,0.0,2,17,9,10,6,6,16,6
286,8,15,0,8.191186904907227,6,0,36.6,23.8,0.0,3,17,9,6,11,11,30,11
490,11,15,0,8.810789108276367,7,0,36.8,23.9,0.0,3,17,9,11,10,10,8,10
898,23,15,0,9.500834465026855,8,0,36.4,23.5,0.0,2,17,9,10,11,11,11,11
966,25,15,0,9.56688117980957,9,0,36.7,23.9,0.0,3,17,9,11,7,7,23,7
14,2,15,0,10.139256477355957,10,0,38.2,24.2,0.0,3,14,9,7,7,7,25,7
1170,29,15,0,11.528489112854004,11,0,37.1,24.1,0.0,3,14,9,7,5,5,2,5
762,21,15,0,11.959822654724121,12,0,36.6,23.8,0.0,3,14,9,5,5,5,29,5
694,20,15,0,13.597999572753906,13,0,36.8,23.9,0.0,3,14,9,5,14,14,21,14
1102,27,15,0,14.164045333862305,14,0,37.1,24.1,0.0,2,14,9,14,8,8,20,8
